source	target	source_gene	target_gene
A0A7M7IES9	Q9NRR4	410968	DROSHA
A0A7M7R9H7	Q93034	551563	CUL5
A0A7M7GTV7	P29144	LOC412055	TPP2
A0A7M7H0V1	Q14692	LOC414048	BMS1
A0A7M6UPZ2	Q8TCJ2	STT3B	STT3B
A0A7M7MV74	O60673	LOC100578071	REV3L
A0A7M7MMU0	Q96JN8	LOC726381	NEURL4
A0A7M7H6G3	P49815	412278	TSC2
A0A7M7GVW9	Q8IV36	550991	HID1
A0A7M7MSD3	O60231	LOC726598	DHX16
A0A7M7R5E5	P49736	411640	MCM2
A0A7M7R7V5	Q9Y2I7	LOC410183	PIKFYVE
A0A7M7L5V5	Q8NEB9	LOC725770	PIK3C3
A0A7M7TF53	Q9UQE7	410217	SMC3
A0A7M7M1F8	Q86U86	LOC552677	PBRM1
A0A7M7M0J9	Q14683	411589	SMC1A
A0A7M7GUE6	Q9ULG1	LOC410352	INO80
A0A7M7R9P0	P19447	551734	ERCC3
A0A7M7GEC3	P35606	LOC409990	COPB2
A0A7M7R5E8	Q92616	409457	GCN1
A0A7M7MLL3	Q5THJ4	LOC412701	VPS13D
A0A7M7GVQ0	O95071	LOC409099	UBR5
A0A7M7SQZ1	Q8N3C0	LOC552814	ASCC3
A0A7M7MSJ2	P30876	LOC552156	POLR2B
A0A7M7H069	P49327	412815	FASN
A0A7M7IID8	Q9HC10	724747	OTOF
A0A7M7MQU9	Q15393	LOC550935	SF3B3
A0A7M7R997	O75533	551331	SF3B1
A0A7M7MRF9	Q8IZF0	LOC413947	NALCN
A0A7M7R6Q9	O60306	413548	AQR
A0A7M7H042	O14802	LOC725552	POLR3A
A0A7M7GJP9	P42356	LOC551182	PI4KA
A0A7M7MMM4	P98164	LOC552358	LRP2
A0A7M7GKC3	Q9NRC6	LOC413332	SPTBN5
A0A7M7MTX2	Q96Q15	LOC727185	SMG1
A0A7M7LMM1	A3KMH1	LOC411355	VWA8
A0A7M7GNP3	O60494	LOC411053	CUBN
A0A7M7IJS4	Q7Z3U7	409743	MON2
A0A7M7RAL5	Q9NW08	552658	POLR3B
A0A7M7LKF5	Q9H9Y6	725719	POLR1B
A0A7M7GX79	P22102	LOC100577675	GART
A0A7M7MSQ1	O75140	LOC100576879	DEPDC5
A0A7M7GLJ9	Q86X10	412130	RALGAPB
A0A7M7GPN2	Q12768	LOC725612	WASHC5
A0A7M7TFD4	Q9Y4B6	412676	DCAF1
A0A7M7TFJ3	Q9Y2L1	413944	DIS3
A0A7M7MTY2	Q9UKN7	LOC408444	MYO15A
A0A7M7L6H4	P78527	LOC552548	PRKDC
A0A7M7GNH0	Q7Z3V4	LOC408749	UBE3B
A0A7M7SQF7	Q93050	LOC727630	ATP6V0A1
A0A7M7G045	Q7L014	727008	DDX46
A0A7M7SPB7	O60244	LOC552794	MED14
A0A7M7R737	Q7Z2Z2	LOC409305	EFL1
A0A7M7IEK4	Q6ZRS2	413341	SRCAP
A0A7M7LSN7	Q14667	552502	KIAA0100
A0A7M7R9V2	P33992	551903	MCM5
A0A7M7II03	P38606	551093	ATP6V1A
A0A7M7R7P2	Q8IZH2	LOC409993	XRN1
A0A7M6URI6	P11021	Hsc70-3	HSPA5
A0A7M7R963	Q96HU1	411540	SGSM3
A0A7M7MS50	P14735	LOC413539	IDE
A0A7M7GLF7	Q9HCS7	412159	XAB2
A0A7M6UWU9	O60337	MARCH6	MARCH6
A0A7M7GK42	Q7RTP6	LOC413310	MICAL3
A0A7M7R990	P31040	LOC550667	SDHA
A0A7M7GRG4	O75417	LOC724423	POLQ
A0A7M7R7R8	Q9H0H0	LOC551355	INTS2
A0A7M7MPB8	P09884	LOC725611	POLA1
A0A7M7IH74	O60313	413438	OPA1
A0A7M7H4H6	Q96RP9	411351	GFM1
A0A7M7GYX9	O00429	411472	DNM1L
A0A7M7R310	P52701	408815	MSH6
A0A7M7GA59	Q9H9T3	100576866	ELP3
A0A7M7IXJ7	Q14697	551205	GANAB
A0A7M7R8I7	Q9UDR5	552130	AASS
A0A7M7G0C9	Q96RY7	LOC726791	IFT140
A0A7M6W5S3	P28331	Ndufs1	NDUFS1
A0A7M7MN87	Q9HCE0	LOC727278	EPG5
A0A7M7LSP9	Q96P70	413940	IPO9
A0A7M7MP07	P33991	LOC552291	MCM4
A0A7M7RB78	P25205	552642	MCM3
A0A7M7GWZ9	Q9BUQ8	LOC551823	DDX23
A0A7M7MRZ2	O43747	LOC412884	AP1G1
A0A7M7MPF1	Q13315	LOC725613	ATM
A0A7M7MPR8	Q6P158	LOC725983	DHX57
A0A7M7FYR0	Q504Q3	724505	PAN2
A0A7M7L3P0	P47897	413718	QARS
A0A7M7RAK7	Q9Y4W6	552166	AFG3L2
A0A7M7R608	P14625	412150	HSP90B1
A0A7M7TFJ4	O95347	412832	SMC2
A0A7M7RAW8	Q99805	552455	TM9SF2
A0A7M7SPI7	Q8IY37	LOC725837	DHX37
A0A7M7R6U5	Q13472	LOC410571	TOP3A
A0A7M6ULL9	P38646	408605	HSPA9
A0A7M7L258	Q99698	LOC408774	LYST
A0A7M7L8K5	P55196	LOC410161	AFDN
A0A7M7G8V2	O00267	LOC413814	SUPT5H
A0A7M7TFE8	Q92621	411918	NUP205
A0A7M7GYE0	P61221	551235	ABCE1
A0A7M7GDS2	Q9HAU5	413146	UPF2
A0A7M7IK47	O60341	726469	KDM1A
A0A7M7R8B2	P55786	410769	NPEPPS
A0A7M7R598	Q9H0D6	408840	XRN2
A0A7M7LN24	Q9UKF6	102653588	CPSF3
A0A7M7IUV9	Q14566	413064	MCM6
A0A7M7H034	P46459	725680	NSF
A0A7M7ILZ8	Q8N653	411262	LZTR1
A0A7M7IP54	Q5T3U5	LOC725993	ABCC10
A0A7M7R8M2	Q96HY7	LOC412569	DHTKD1
A0A7M7H0L7	Q13535	LOC100576402	ATR
A0A7M7R4Q3	Q92499	408794	DDX1
A0A7M7H1F6	Q09161	409476	NCBP1
A0A7M7RAG4	Q99459	LOC552527	CDC5L
A0A7M7L7W5	Q2V2M9	LOC409786	FHOD3
A0A7M7R2R9	Q5TH69	LOC408471	ARFGEF3
A0A7M7R6B1	P33993	409979	MCM7
A0A7M7MU82	Q9P2K8	LOC725088	EIF2AK4
A0A7M7GQQ5	O60841	408556	EIF5B
A0A7M7MUV7	Q92698	409447	RAD54L
A0A7M7SNZ2	Q9NR19	LOC409624	ACSS2
A0A7M7GUA7	Q2KHT3	LOC410511	CLEC16A
A0A7M7H094	Q14147	413592	DHX34
A0A7M7MQJ1	Q4ADV7	LOC411939	RIC1
A0A7M7GRR3	Q4LDE5	LOC100578434	SVEP1
A0A7M7MXY7	Q04446	LOC727168	GBE1
A0A7M7L541	Q12830	LOC412256	BPTF
A0A7M7RB73	P09874	552095	PARP1
A0A7M7R7S3	Q7Z3J2	411237	C16orf62
A0A7M7GMR3	Q9P2I0	411465	CPSF2
A0A7M7R8Q0	Q16134	552343	ETFDH
A0A7M7TF28	Q12996	410390	CSTF3
A0A7M7L761	Q01433	409444	AMPD2
A0A7M7H675	Q5JRX3	413657	PITRM1
A0A7M7R6H7	Q9UI26	LOC412834	IPO11
A0A7M7SRW6	Q93100	LOC107963991	PHKB
A0A7M7R6D3	P41250	408392	GARS
A0A7M7GT58	Q99613	551184	EIF3C
A0A7M7R612	P55884	410100	EIF3B
A0A7M7SS83	Q9BZQ6	LOC552435	EDEM3
A0A7M7L5Y4	Q68E01	LOC411177	INTS3
A0A7M7R8I6	O60524	LOC412408	NEMF
A0A7M7MQD3	Q92797	LOC552752	SYMPK
A0A7M7R700	Q9H583	LOC410319	HEATR1
A0A7M7TFK5	Q15386	LOC413096	UBE3C
A0A7M7R6Y6	P49589	411167	CARS
A0A7M7R6P1	Q92896	413732	GLG1
A0A7M7R8C3	P61011	552114	SRP54
A0A7M7SRP3	Q9H270	LOC410493	VPS11
A0A7M7GJQ5	Q05086	411182	UBE3A
A0A7M7GJC3	Q86XP3	551822	DDX42
A0A7M7R851	P31939	412467	ATIC
Q7YXK7	Q05586	Nmdar1	GRIN1
A0A7M7LMI1	Q5JTH9	LOC727591	RRP12
A0A7M7LRC0	Q9UJV9	LOC408524	DDX41
A0A7M7MRG4	Q9UL63	LOC552542	MKLN1
A0A7M7MGK9	O00754	LOC552249	MAN2B1
A0A7M7MWC8	P54886	LOC412948	ALDH18A1
A0A7M7RAI9	O43847	LOC552055	NRDC
A0A7M7H044	Q9HD45	LOC551549	TM9SF3
A0A7M7L2Q9	Q9Y5L0	LOC726159	TNPO3
A0A7M7R3N9	Q6IA69	409487	NADSYN1
A0A7M7IJP2	P51610	LOC551801	HCFC1
A0A7M7GZ41	O95155	412219	UBE4B
A0A7M7R611	Q9Y3I0	409653	RTCB
A0A7M7R8V5	Q5VIR6	550700	VPS53
A0A7M7R5V3	P48147	LOC411896	PREP
A0A7M7TFH5	Q96BP3	LOC413544	PPWD1
A0A7M7R776	Q15477	413690	SKIV2L
A0A7M7R5P8	P49915	409846	GMPS
A0A7M7IN56	O75694	LOC412721	NUP155
A0A7M7M0I5	Q05397	LOC724973	PTK2
A0A7M7MM53	P43304	LOC551904	GPD2
A0A7M7LPY9	P43246	LOC725348	MSH2
A0A7M7IHQ7	Q5TA45	LOC100576359	INTS11
A0A7M7R5I4	P25705	409114	ATP5F1A
A0A7M7MMY3	Q9UG63	413252	ABCF2
A0A7M7IN38	P08922	LOC410671	ROS1
T1SGQ4	Q13976	For	PRKG1
A0A7M7M1G5	P04035	550724	HMGCR
A0A7M7GZM6	A2RRP1	LOC413118	NBAS
A0A7M7GXE4	P54098	LOC411763	POLG
A0A7M7KXK3	P20936	LOC410811	RASA1
A0A7M7GTH2	P06576	551766	ATP5F1B
A0A7M7R9W3	O15294	LOC551425	OGT
A0A7M7IIV0	Q9BTW9	LOC725910	TBCD
A0A7M7MUR4	Q13617	LOC725467	CUL2
A0A7M7M520	P40145	726262	ADCY8
A0A7M7GVV0	Q15046	551538	KARS
A0A7M7H7B8	P35998	551343	PSMC2
A0A7M7R3B6	P17987	409134	TCP1
A0A7M7M0V8	Q9NVE7	409017	PANK4
A0A7M7MR17	Q9Y6W3	LOC726223	CAPN7
A0A7M7MPR9	P48506	LOC100578132	GCLC
A0A7M7R8D2	Q7KZF4	LOC552259	SND1
A0A7M7G0A0	Q9NP58	LOC726867	ABCB6
A0A7M7H363	P16435	LOC724870	POR
A0A7M7R753	P10809	409384	HSPD1
A0A7M7RA47	Q2M389	551888	WASHC4
A0A7M7R8X8	Q9NUQ8	413652	ABCF3
A0A7M7RBZ4	Q92544	552723	TM9SF4
A0A7M7GNE7	P18858	408752	LIG1
A0A7M7R401	P48643	409825	CCT5
Q5UAF0	Q02153	408880	GUCY1B1
A0A7M7MPP1	O43252	LOC409460	PAPSS1
A0A7M7R8K3	P51798	LOC413069	CLCN7
A0A7M7H096	Q99832	550694	CCT7
A0A7M7L386	O75976	LOC724816	CPD
A0A7M7R793	Q9HCC0	410554	MCCC2
A0A7M7R7G2	Q5XPI4	LOC410136	RNF123
A0A7M7R6R1	Q6ZXV5	410485	TMTC3
A0A7M7RAD1	O95340	LOC413048	PAPSS2
A0A7M7RA26	P06744	551154	GPI
A0A7M7R555	Q92562	410980	FIG4
A0A7M7TFI7	Q9Y496	LOC412711	KIF3A
A0A7M7R948	Q96AY4	LOC413955	TTC28
A0A7M7IGK8	P61764	LOC412924	STXBP1
A0A7M7M5P4	Q562E7	LOC100576958	WDR81
A0A7M7R5S0	P10253	LOC409365	GAA
A0A7M7R2Q7	P49821	LOC408367	NDUFV1
A0A7M7RBV0	P28288	LOC552495	ABCD3
A0A7M7R5E0	Q9Y265	409544	RUVBL1
A0A7M7GJB3	P35222	408399	CTNNB1
A0A7M7TFJ6	Q14152	414004	EIF3A
A0A7M7MQ30	P52948	408335	NUP98
A0A7M7R4I8	Q96CW1	408418	AP2M1
A0A7M7IG58	Q06330	413870	RBPJ
A0A7M7MTS4	Q9P253	LOC413525	VPS18
A0A7M7R9W5	P54136	LOC550903	RARS
A0A7M7TFQ7	O75808	LOC551614	CAPN15
A0A7M7H2G3	Q8WVM8	410849	SCFD1
A0A7M7SNS8	Q96K76	408911	USP47
A0A7M7R5A6	P49368	409296	CCT3
A0A7M7TF60	Q8NI36	411026	WDR36
A0A7M7MTS0	A0AVF1	LOC726600	TTC26
A0A7M7IJT7	Q9P212	LOC408804	PLCE1
A0A7M7R337	P16519	LOC408835	PCSK2
A0A7M7R7K7	P40939	410325	HADHA
A0A7M7MK85	Q9UBS5	LOC113218647	GABBR1
A0A7M7RBK8	O43776	LOC551088	NARS
A0A7M7R9W2	P56192	413796	MARS
A0A7M7R7Q4	Q9UKY4	551578	POMT2
A0A7M7R9B0	O00178	551185	GTPBP1
A0A7M7GWU4	Q8TCS8	LOC413542	PNPT1
A0A7M7R9L5	Q9NTJ3	413418	SMC4
A0A7M7R5N3	P78371	409809	CCT2
A0A7M7H3K2	P49916	413086	LIG3
A0A7M7GX20	Q8NDG6	727113	TDRD9
A0A7M7R702	Q9BZE4	410799	GTPBP4
A0A7M7MVH9	P18206	LOC552082	VCL
A0A7M7GZC4	P61201	409062	COPS2
A0A7M7MNV2	Q9UBN7	LOC725938	HDAC6
A0A7M7R926	Q8NE71	LOC413390	ABCF1
A0A7M7H0L9	Q9Y4X5	413468	ARIH1
A0A7M7H5A2	Q14C86	LOC411806	GAPVD1
A0A7M7R996	O60508	413523	CDC40
A0A7M7MP61	O75027	LOC412749	ABCB7
A0A7M7LIF1	Q96JG6	725781	VPS50
A0A7M7GTJ1	Q96L93	LOC413170	KIF16B
A0A7M7GSC8	Q9Y230	726816	RUVBL2
A0A7M7FZR2	Q9P2R3	LOC726291	ANKFY1
A0A7M7IKF2	O15042	LOC413578	U2SURP
A0A7M7L326	Q9NVP1	LOC413727	DDX18
A0A7M7GWW3	O00468	LOC408393	AGRN
A0A7M7MKX4	Q8NCN5	LOC412372	PDPR
A0A7M7R6U4	Q12874	413963	SF3A3
A0A7M7R5H7	Q8TEA7	409527	TBCK
A0A7M7L4K4	Q8N3P4	LOC409620	VPS8
A0A7M7L666	P62495	LOC725555	ETF1
A0A7M7R9Q8	P50991	551275	CCT4
A0A7M7H2W8	Q8TAF3	LOC411121	WDR48
A0A7M7L1T3	O15033	LOC726045	AREL1
A0A7M7TFC0	Q8N1B4	412346	VPS52
A0A7M7L062	Q7Z392	LOC726633	TRAPPC11
A0A7M7H2T2	Q9Y6X3	411194	MAU2
A0A7M7SNK2	Q08AM6	LOC413494	VAC14
A0A7M7LN14	Q06124	412529	PTPN11
A0A7M7R6B4	O60763	412506	USO1
A0A7M7R824	Q8IYB8	LOC551613	SUPV3L1
A0A7M7LPA9	Q5VZK9	LOC552026	CARMIL1
A0A7M7LSF1	Q93063	LOC726216	EXT2
A0A7M7GUC5	Q6PJI9	410345	WDR59
A0A7M7GMU3	Q9H2U1	LOC411492	DHX36
A0A7M7GRI3	P62195	550794	PSMC5
A0A7M7MMG7	Q12769	LOC725332	NUP160
A0A7M7R3M6	O15381	LOC409408	NVL
A0A7M7R4W6	Q9UBF8	LOC408373	PI4KB
A0A7M7R5E6	O60502	411905	OGA
A0A7M7GZ16	Q5VZE5	725320	NAA35
A0A7M7TFR7	Q9BZJ0	551756	CRNKL1
A0A7M7L3Z3	Q6YHK3	LOC726883	CD109
A0A7M7KZE4	O95631	LOC724319	NTN1
A0A7M7GRD1	O15371	409550	EIF3D
A0A7M7IND3	Q8N442	LOC102655778	GUF1
A0A7M7GLE7	Q8TDG4	LOC724475	HELQ
A0A7M7H4U4	P51659	LOC409986	HSD17B4
A0A7M7GSL3	Q9UNS1	LOC550811	TIMELESS
A0A7M7IN07	Q7Z3C6	412115	ATG9A
A0A7M7GBG3	P43686	410026	PSMC4
A0A7M7SRS6	P49902	LOC551770	NT5C2
A0A7M7H4R2	P62333	551386	PSMC6
A0A7M7GBR6	Q9NRW7	727031	VPS45
A0A7M7GZB9	Q13206	LOC725642	DDX10
A0A7M7TFX2	Q2NL82	LOC551781	TSR1
A0A7M7R7W3	Q9Y4L1	LOC551763	HYOU1
A0A7M7MGF8	Q8IXH7	LOC411415	NELFCD
A0A7M7KZB6	Q03468	LOC724695	ERCC6
A0A7M7TFB4	Q9NY33	412232	DPP3
A0A7M6UEK0	Q9Y6A1	551420	POMT1
A0A7M7TER2	P23526	408368	AHCY
A0A7M7TER4	Q96Q05	LOC408401	TRAPPC9
A0A7M7TFP5	Q9H6R3	LOC413942	ACSS3
A0A7M7MX79	Q9NZ71	LOC412546	RTEL1
A0A7M7R924	Q5VV42	LOC413250	CDKAL1
A0A7M7MUK8	Q8NHY2	LOC552109	COP1
A0A7M7R741	Q15042	LOC411637	RAB3GAP1
A0A7M7TET9	Q9NV88	408836	INTS9
A0A7M7IS91	Q09028	552200	RBBP4
A0A7M7IP86	Q9NSD9	551101	FARSB
A0A7M7MWQ7	Q13627	LOC409111	DYRK1A
A0A7M7MQ21	Q14137	LOC551531	BOP1
A0A7M7L464	Q92889	LOC725405	ERCC4
A0A7M7L593	Q5VVW2	413473	GARNL3
A0A7M7GZD5	P52209	552712	PGD
A0A7M7LTJ1	Q9Y2L5	LOC412104	TRAPPC8
A0A7M7R684	Q15459	409883	SF3A1
A0A7M7R3D7	P17980	409198	PSMC3
A0A7M7MPX9	O76074	LOC100577138	PDE5A
A0A7M7MPF2	O95425	LOC551361	SVIL
A0A7M7SR01	O60503	LOC552535	ADCY9
A0A7M7MH33	Q9H7D7	LOC724976	WDR26
A0A7M7MR91	Q9H3S7	LOC551449	PTPN23
A0A7M7MWM6	Q9HCG8	LOC724331	CWC22
A0A7M7R468	Q2TAY7	409955	SMU1
A0A7M7IHR8	Q16394	408293	EXT1
A0A7M7GB14	Q96SU4	LOC552620	OSBPL9
A0A7M7R9Y4	O94906	551493	PRPF6
A0A7M7RAP2	P50990	551436	CCT8
A0A7M7GBG0	Q9BXS5	408391	AP1M1
A0A7M7H280	Q92673	408987	SORL1
A0A7M7R488	P38919	409866	EIF4A3
A0A7M7IL05	Q9NSE4	LOC726483	IARS2
A0A7M7LM38	O95163	551809	ELP1
A0A7M7MTR9	Q9Y4F3	LOC409429	MARF1
A0A7M7R878	Q9BSC4	LOC411240	NOL10
A0A7M7IVN9	P49754	551708	VPS41
A0A7M7R8I0	P15056	413448	BRAF
A0A7M7GRB4	Q5JSH3	LOC408507	WDR44
A0A7M7R6E8	Q3B7T1	409664	EDRF1
A0A7M7GTI5	Q12767	LOC412623	TMEM94
A0A7M7R7B6	Q9NPH2	551143	ISYNA1
A0A7M7G0C7	O96005	LOC727027	CLPTM1
A0A7M7R761	Q8TDD1	413660	DDX54
A0A7M7TG21	P39023	LOC552445	RPL3
A0A7M7R802	P49591	413011	SARS
A0A7M7SQE2	O00411	LOC725579	POLRMT
A0A7M7R6W3	Q10471	LOC411054	GALNT2
A0A7M7RAS2	Q9NV70	LOC413524	EXOC1
A0A7M7R5Y2	O15379	412350	HDAC3
A0A7M7R454	Q02252	409736	ALDH6A1
A0A7M7MX03	O00116	LOC725343	AGPS
A0A7M7MN26	Q96MT7	LOC102656492	CFAP44
A0A7M7H2V0	P22307	408904	SCP2
A0A7M7LQQ0	O75899	LOC410140	GABBR2
A0A7M7R959	Q99797	LOC412784	MIPEP
A0A7M7R3N5	Q5T2E6	LOC409440	ARMH3
A0A7M7MN70	P29122	LOC408618	PCSK6
A0A7M7LMT7	Q15772	408830	SPEG
A0A7M7GTC0	P15144	412808	ANPEP
A0A7M7R5Q8	Q13485	409321	SMAD4
A0A7M7TFB3	Q9H0S4	412190	DDX47
A0A7M7L0S4	O94822	LOC726989	LTN1
A0A7M7TF32	P30566	LOC410482	ADSL
A0A7M7R6Y3	Q9H9E3	LOC411125	COG4
A0A7M7R721	Q14562	550940	DHX8
A0A7M7L474	Q96JQ0	LOC408767	DCHS1
A0A7M7GZ26	O14980	413018	XPO1
A0A7M7GW69	O14841	725665	OPLAH
A0A7M7H120	P11498	412876	PC
A0A7M7GR45	Q14669	409382	TRIP12
A0A7M7L6M3	Q9ULK4	LOC412332	MED23
A0A7M7R447	Q86VP6	409918	CAND1
A0A7M7MH55	Q8NCM8	LOC411639	DYNC2H1
A0A7M7GSA8	P53396	550686	ACLY
A0A7M7H0N7	Q16531	LOC412593	DDB1
A0A7M7KZQ9	Q7Z7M0	LOC725895	MEGF8
A0A7M7R480	Q92900	LOC409839	UPF1
A0A7M7LRB6	Q9UIA9	413636	XPO7
A0A7M7M151	P35573	LOC411488	AGL
A0A7M7GJA8	P29375	410874	KDM5A
A0A7M7R580	Q14008	LOC409359	CKAP5
A0A7M7R8E7	Q10570	LOC551997	CPSF1
A0A7M7TFB6	Q9P2J5	LOC412282	LARS
A0A7M7GLF0	O14981	LOC725306	BTAF1
A0A7M7L9F3	Q6KC79	Nipped-B	NIPBL
A0A7M7R704	P53621	550806	COPA
A0A7M7R7N9	Q15029	410414	EFTUD2
A0A7M7SS21	P07814	LOC725395	EPRS
A0A7M7H090	P61160	409313	ACTR2
A0A7M7MQM3	Q8TB22	409622	SPATA20
A0A7M7R5Z7	O75390	410059	CS
A0A7M7MW93	Q9H2M9	LOC100578281	RAB3GAP2
A0A7M7RB80	Q9H7Z6	552696	KAT8
A0A7M7R921	Q06203	412619	PPAT
A0A7M7GW24	Q9C0E2	LOC725887	XPO4
A0A7M7IJP9	Q13098	LOC409357	GPS1
A0A7M7TFT4	Q92845	LOC551999	KIFAP3
A0A7M7FYU6	Q08945	726058	SSRP1
A0A7M7LP64	Q92636	LOC724701	NSMAF
A0A7M7GWB3	Q9UBT2	409191	UBA2
A0A7M7L855	Q9H5Z1	LOC413147	DHX35
A0A7M7G2W4	Q9H6R0	LOC726350	DHX33
A0A7M7MQP4	Q9NXC5	LOC726771	MIOS
A0A7M7IKZ3	O94967	LOC410771	WDR47
A0A7M7GEP0	Q9HBF4	409941	ZFYVE1
A0A7M7GNT0	Q8IX12	409891	CCAR1
A0A7M7IG60	P54802	551437	NAGLU
A0A7M7IJJ4	O75306	413891	NDUFS2
A0A7M7H7D0	Q8TAT6	LOC409841	NPLOC4
