source	target	source_gene	target_gene
A0A7M7IWQ0	A0A0B4K7Q6	LOC725248	mbc
A0A7M7LP80	Q9W3M3	LOC412002	Ubr3
A0A7M7GNW1	Q868Z9	LOC413021	Ppn
A0A7M7GU41	Q9VVG0	410368	Cad74A
A0A7M7H1U6	Q9VC96	412406	BRWD3
A0A7M7GM66	M9MSG8	LOC408427	Piezo
A0A7M7MKH7	P20241	411829	Nrg
A0A7M7IEK4	Q9NDJ2	413341	dom
A0A7M7L6M3	Q9W1X7	LOC412332	MED23
A0A7M7GR45	Q9VN58	409382	ctrip
A0A7M7SPB7	Q9W0P8	LOC552794	MED14
A0A7M7MNB0	P10351	LOC724718	ry
A0A7M7GZ26	Q9TVM2	413018	emb
A0A7M7L0L6	P15348	LOC724215	Top2
A0A7M7IFF9	P13060	409167	EF2
A0A7M7R480	Q9VYS3	LOC409839	Upf1
A0A7M7MMX5	A8JUV0	LOC100578826	sno
A0A7M7IRW0	Q9VAF5	LOC412795	Cad99C
A0A7M7TFB6	Q9VQR8	LOC412282	LeuRS
A0A7M7H1B3	Q0KHY3	LOC408878	mesh
A0A7M7GXG6	Q24368	412742	Iswi
A0A7M7GLJ9	X2JEC6	412130	Dmel\CG34408
A0A7M7KY65	M9MS40	LOC726280	nej
A0A7M7R9V3	P54358	LOC551398	DNApol-delta
A0A7M7LIB1	Q8MLX0	724571	GYC
A0A7M7R7N9	Q9VAX8	410414	Snu114
A0A7M7H2N9	A0A0B4LGD3	LOC411113	kcc
A0A7M7MPY4	A8JNU6	LOC408286	Nc73EF
A0A7M7R447	Q9VKY2	409918	Cand1
A0A7M7R8E7	Q9V726	LOC551997	Cpsf160
A0A7M7MS99	Q01989	LOC409285	jar
A0A7M7L2L1	Q9VN44	LOC724927	Karybeta3
A0A7M7IGJ7	P43125	409865	rdgB
A0A7M7KXV0	Q24253	LOC726187	AP-1-2beta
A0A7M7TG27	A1ZAB5	552519	clu
A0A7M7R6R9	P91926	411147	AP-2alpha
A0A7M7IGE1	Q7JQ32	LOC724603	Gyc76C
A0A7M7GZR3	Q9VK06	LOC413138	Dmel\CG31729
A0A7M7H0N7	Q9XYZ5	LOC412593	pic
A0A7M7R8J1	Q9VZV2	LOC413481	Cht7
A0A7M7G285	P91875	725216	RpI1
A0A7M7MH55	Q0E8P6	LOC411639	btv
A0A7M7MN70	P30432	LOC408618	Fur2
A0A7M7MQ01	Q9W5D0	LOC724417	CG43867
A0A7M7GQ45	Q9XTL9	409267	GlyP
Q5FAN1	Q27571	AmNOS	Nos
A0A7M7GW88	E2QCS8	LOC410099	tho2
A0A7M7IGE9	Q9VNC9	409752	Dmel\CG2519
A0A7M7R704	Q9W0B8	550806	alphaCOP
A0A7M7MM45	Q9VY54	LOC726778	l(1)G0007
A0A7M7GCN8	Q9Y134	LOC551637	Mtr4
A0A7M7LN45	P35220	552850	alpha-Cat
A0A7M7TFV9	Q8IRG6	551612	dre4
A0A7M7IGH8	Q9U969	LOC724510	sws
A0A7M7GK42	Q86BA1	LOC413310	Mical
A0A7M7MSQ1	Q9W0E3	LOC100576879	Iml1
A0A7M7R425	Q24325	409906	Taf2
A0A7M7ML47	Q9W581	LOC412818	Nmdar2
A0A7M7GSW3	P18490	552309	pcx
A0A7M7MRQ0	Q9VL24	LOC552375	Npc1a
A0A7M7LRC9	Q24298	LOC410585	shg
A0A7M7GQQ8	Q9W040	LOC409371	Oseg2
A0A7M7SNY3	Q7K3H0	LOC413425	Pi3K68D
A0A7M7MP79	Q9W002	LOC413504	msn
A0A7M7IES9	Q7KNF1	410968	drosha
A0A7M7H3Z2	Q7KTG6	409192	DmCG33298
A0A7M7GJA8	Q9VMJ7	410874	lid
A0A7M7R2U4	Q9VRV8	LOC408842	Tnpo
A0A7M7GEQ7	P25455	408791	Plc21C
A0A7M7H5U2	P11046	LOC726736	LanB1
A0A7M7IE26	B7YZF8	552074	ATP8A
A0A7M7L4R3	P35421	LOC552657	ade2
A0A7M7MKQ3	Q9W246	LOC100577763	GM01751p
A0A7M7GUE6	Q9VDY1	LOC410352	Ino80
A0A7M7ISV8	Q9W374	410207	su(r)
A0A7M7GVC8	Q7KN62	409377	TER94
A0A7M7R9T5	Q8MSW0	551629	IleRS
A0A7M7MR67	Q9VJ80	LOC413054	Dmel\CG10211
A0A7M7SRW6	Q9VLS1	LOC107963991	CG8475
A0A7M7GQV2	Q7KN75	412111	Dp1
A0A7M7SS86	Q9VUQ9	LOC409193	dop
A0A7M7R561	Q8T0L3	410958	Uba1
A0A7M7M4U0	Q9W0E1	LOC412128	pns
A0A7M7M1F8	Q9VC36	LOC552677	polybromo
A0A7M7MW49	Q8IPI3	LOC409792	Ndae1
A0A7M7R679	P24785	413074	mle
A0A7M7R5Q1	Q5U0V7	411705	Synj
A0A7M7L8V2	Q9VN14	LOC725169	Cont
A0A7M7ISX2	Q09332	LOC412198	Ugt
A0A7M7IME5	Q9VB20	LOC413755	dsd
A0A7M7MSD3	Q9VIZ3	LOC726598	l(2)37Cb
A0A7M6UEG2	Q02280	LOC100820634	eag
A0A7M7MQD4	Q9VUI3	LOC410261	DCX-EMAP
A0A7M7GNB1	Q9V3L1	LOC413242	sfl
A0A7M7MM94	Q9VH09	LOC100577053	Dmel\CG3999
A0A7M7GY42	Q9VJJ7	LOC410823	Trpgamma
A0A7M7GR01	Q9VDS9	LOC408533	Ask1
A0A7M7MPB3	M9MRE4	LOC551706	d
A0A7M7TF53	Q9VXE9	410217	SMC3
A0A7M7L3C6	Q9VSD6	LOC551725	msk
A0A7M7L648	Q9VU79	LOC550964	GYC
A0A7M7L2Z7	Q967D7	LOC408770	tutl
A0A7M7R6H1	Q9VJ82	LOC412778	kon
A0A7M7LM46	Q9VYR4	LOC413543	fw
A0A7M7MMY1	Q9VX32	LOC551731	RhoGAPp190
A0A7M7LRB6	Q9GQN0	413636	Ranbp16
A0A7M7L8K5	Q9VN82	LOC410161	cno
A0A7M7LRS9	M9PHV5	LOC411220	GluRIB
A0A7M7L6S2	Q24020	LOC412468	fliI
A0A7M7L2S0	Q9VB98	LOC551830	CG5521
A0A7M7L1D7	Q9VMF3	LOC408810	PDZ-GEF
A0A7M7LIA5	M9PG15	724440	SPoCk
A0A7M7R7B2	Q9VLM8	411923	AlaRS
A0A7M7R5E5	P49735	411640	Mcm2
A0A7M7LKF5	P20028	725719	RpI135
A0A7M6UX13	Q9VXE3	100578506	Rok
A0A7M7TFH2	Q9VYT4	LOC412379	ATP7
A0A7M7GWY4	Q9VC47	LOC410386	tok
A0A7M7MPX9	Q9VJ79	LOC100577138	Pde11
B9VMQ3	A0A0B4KGL0	Nrx-1	Nrx-1
A0A7M7MW09	Q9VDH5	LOC408645	KaiR1D
A0A7M7R8I7	Q9VLX0	552130	LKRSDH
A0A7M7IGI8	Q9VUC6	LOC410904	Frl
A0A7M7MNK0	A1Z8J4	LOC724520	nompA
A0A7M7R8Z3	Q7K0X3	LOC413130	Ctr9
A0A7M7R6G3	Q9VKJ6	412741	dCOD1
A0A7M7KXK3	Q8IR23	LOC410811	vap
A0A7M7GUB1	A0A0B4KF06	LOC411734	ValRS
A0A7M7SQF7	Q9XZ10	LOC727630	Vha100-1
A0A7M7TFW2	Q8IN49	LOC552428	l(3)03806
A0A7M7SRA2	P26675	LOC552718	Sos
A0A7M7R4Z8	A0A0B4K5Z8	408983	Sec23
A0A7M7TFG3	Q9VWB0	412224	Pex23
A0A7M7MM85	P45437	LOC725057	betaCOP
A0A7M7L5J4	P27619	LOC410923	shi
A0A7M7MPX1	A8JQ65	LOC412355	CG34384
A0A7M7MRI7	Q9VM62	LOC727407	SA
Q7YXK7	Q24418	Nmdar1	Nmdar1
A0A7M7GSD7	Q9VFI9	410630	Pde6
A0A7M7R2P2	Q9VIE8	408446	mAcon1
A0A7M7MT05	A1Z6Z8	LOC726456	didum
A0A7M7GX13	Q00449	551167	Mdr49
A0A7M7SRQ0	M9PCD4	LOC409902	Liprin-alpha
A0A7M7L9F3	Q7PLI2	Nipped-B	Nipped-B
A0A7M7IGD6	D6W4T8	LOC409082	pod1
A0A7M7ML14	Q9VS41	LOC408914	unc-13-4A
A0A7M7R9P0	Q02870	551734	hay
A0A7M7R8N1	Q23978	552299	Myo31DF
A0A7M7GL74	A1Z8S6	551462	pds5
A0A7M7GXH4	Q9VYK6	LOC408267	Tomosyn
A0A7M7TFI2	M9PHU0	LOC413677	CG8557
A0A7M7IGL9	X2JE21	LOC551663	mmd
A0A7M7IIY5	A8DWJ8	LOC408451	Nox
A0A7M7M0Z4	Q0E908	LOC410236	Hil
A0A7M7R7X6	Q7KVP9	412700	Xpd
A0A7M7MR59	A1Z7T0	LOC725923	Pkn
A0A7M7MUD7	Q9VXH3	LOC551709	sl
A0A7M7ILY6	Q9VGH7	408467	ClC-a
A0A7M7L9E3	Q7KTX8	LOC410159	skd
A0A7M7R836	P17210	LOC411769	Khc
A0A7M7MS44	M9PI24	LOC552711	Dmel\CG6938
A0A7M7MK85	Q9V3Q9	LOC113218647	GABA-B-R1
A0A7M7IKX3	Q7KUT2	409459	Lon
A0A7M7G9G5	Q7K3M5	551824	Dhx15
A0A7M7IF72	Q9V4A0	LOC411050	DmelCG11155
A0A7M7R963	Q9VFB6	411540	Dmel\CG12241
A0A7M7MGT3	O96553	LOC550749	pug
A0A7M7L7W5	E1JI78	LOC409786	Fhos
A0A7M7IF63	Q9W3D3	LOC413331	Crag
A0A7M7MVA0	P16620	LOC725118	Ptp69D
A0A7M7G8V2	Q9V460	LOC413814	Spt5
A0A7M7M0J9	Q9VCD8	411589	SMC1
A0A7M7R7V7	M9PFY3	LOC551188	CG11250
A0A7M7GSI1	P18502	100576449	ptc
A0A7M7MQZ9	P15215	LOC409474	LanB2
A0A7M7L1T3	Q9VQ67	LOC726045	Dmel\CG4238
A0A7M7LMM1	M9PHH0	LOC411355	c12.2
A0A7M7GE31	M9PI37	LOC409208	Ncc69
A0A7M7R2R9	Q9W444	LOC408471	Dmel\CG5937
A0A7M7TFJ3	Q9VC93	413944	Dis3
A0A7M7LQH7	Q24210	LOC411347	CASK
A0A7M7MKN8	P48591	LOC725673	RnrL
A0A7M7MVH9	O46037	LOC552082	Vinc
A0A7M7GL53	Q9VA99	LOC413369	CG2176
A0A7M7IH74	A1Z9N0	413438	Opa1
A0A7M7L3A5	Q9VEJ9	LOC412013	cysu
A0A7M7H1F6	Q7K4N3	409476	Cbp80
A0A7M7L1H0	A1ZBM3	LOC408662	Oseg6
A0A7M7TFC4	Q9W1C5	LOC411469	IntS1
A0A7M7H0V2	Q9VUY1	LOC409144	ClC-c
A0A7M7R774	A8DZ26	LOC410527	anne
A0A7M7R947	Q9VWE7	413344	Ranbp21
A0A7M7MQF9	Q9VYQ8	LOC409332	Usp7
A0A7M7FZ19	P19334	724608	trp
A0A7M7GSX8	M9MSM5	LOC409001	DAAM
A0A7M7L1D5	Q23979	LOC410960	Myo61F
A0A7M7GW07	P91685	406151	mGluR
A0A7M6UPZ2	Q9XZ53	STT3B	Stt3B
A0A7M7TFQ7	P27398	LOC551614	sol
A0A7M7GKE4	Q9VEU1	LOC413210	Cad89D
A0A7M7MVK6	Q9VUX2	LOC550708	mib1
A0A7M7H0C6	Q9V4E5	408489	Eph
A0A7M7MLT5	Q86P36	LOC413676	Ptr
A0A7M7L6I2	Q9Y119	LOC408867	Tps1
A0A0B5ELM2	X2J9Z3	Cava2d3	mdcds_3066
A0A7M7GRS7	A0A0B4KHZ4	408809	CG5875
A0A7M7MXW1	Q9VX91	410886	Ubr1
A0A7M7GNH0	Q9VSS9	LOC408749	Dmel\CG5087
A0A7M7L5X8	Q9VHH2	LOC726562	Vps15
A0A7M7GLF7	A1Z9G2	412159	fand
A0A7M7MKX4	Q9W4K8	LOC412372	Dmel\CG3626
A0A7M7R3G4	Q9VRE0	409265	Stt3A
A0A7M7GSE7	Q9VXV3	LOC726728	shtd
A0A7M7LMC1	M9PEM2	LOC408624	Dmel\CG34126
A0A7M7LPA9	A0A0B4KEE7	LOC552026	LRR
A0A7M7H0G9	P10676	LOC409937	ninaC
A0A7M7KZ89	Q9VRP9	LOC552647	Bre1
A0A7M7RAQ2	Q9W437	LOC551668	raptor
A0A7M7TFD4	Q9W2F2	412676	mahj
A0A7M7MM42	A8JNU1	LOC726514	CG12436
A0A7M7MTU0	A1Z8W8	LOC727312	garz
A0A7M7M0I9	Q9W3W0	LOC726119	iav
A0A7M7M5P4	Q9VKD0	LOC100576958	Wdr81
A0A7M6URI6	P29844	Hsc70-3	Hsc70-3
A0A7M7RCJ6	Q9VW54	409475	Rpn1
A0A7M7R581	Q9W097	LOC411338	Oseg4
A0A7M7IP54	Q9VLP5	LOC725993	Dmel\CG7806
A0A7M7GQZ3	O18388	LOC410447	Fs(2)Ket
A0A7M7FYR0	A1Z7K9	724505	PAN2
A0A7M7MLT7	P32865	LOC413197	Gprk1
A0A7M7R7R3	Q9VAC5	LOC551599	Tace
A0A7M7MMA9	Q9VIC9	LOC551401	Dmel\CG8665
A0A7M7IFA1	Q7PLC7	Gfat2	Gfat1
A0A7M7SR35	Q9VT48	LOC725581	Dmel\CG8177
A0A7M7H0V1	Q9VVC9	LOC414048	Dmel\CG7728
A0A7M7R5K2	Q9XZU1	411865	Cse1
A0A7M7MPG4	P52034	LOC724724	Pfk
A0A7M7MMU0	A0A1L4AAD6	LOC726381	Neurl4
A0A7M7GVW9	Q0E9B5	550991	Dmel\CG8841
A0A7M7GNN8	B7YZT5	725119	Pld
A0A7M7LQQ0	A0A0B4LHR4	LOC410140	GABA-B-R2
A0A7M7GRG4	O18475	LOC724423	mus308
A0A7M7GPP7	A0A0B4KF30	LOC410365	stw
A0A7M7GJB3	P18824	408399	arm
A0A7M7MSD0	M9PC99	LOC409439	Sec24CD
A0A7M7GY61	Q9VC63	413959	Dmel\CG5789
A0A7M7G0A0	Q9VF20	LOC726867	Hmt-1
A0A7M7LNZ0	Q8IP45	LOC552700	Cul3
A0A7M7G045	Q9VXW2	727008	Prp5
A0A7M7MMD1	A1Z9D7	LOC551021	arr
A0A7M7R6N7	P00522	LOC409127	Abl
A0A7M7INF2	Q8MS37	LOC410975	tyn
A0A7M7IUV9	Q9V461	413064	Mcm6
A0A7M7MWC8	Q9VNW6	LOC412948	Dmel\CG7470
A0A7M7L5V5	Q9W1M7	LOC725770	Pi3K59F
A0A7M7MP07	Q26454	LOC552291	dpa
A0A7M7IRQ5	Q9VF17	LOC726069	CG4224
A0A7M7GPC9	Q9V677	LOC725156	CG8858
A0A7M7GYX9	Q9VQE0	411472	Drp1
A0A7M7RC27	O96651	552787	Top3beta
A0A7M7GXE4	Q27607	LOC411763	tam
A0A7M7RAV1	Q9VFC8	LOC552328	GlyS
A0A7M7IGA6	Q9VE75	LOC412810	Vha100-2
A0A7M7GEC3	O62621	LOC409990	beta'COP
A0A7M7R8B2	Q8IRH1	410769	Psa
A0A7M7LQ76	A1ZBH7	413334	hppy
A0A7M6UV25	P05130	Pkc	Pkc53E
A0A7M7MPR8	Q9VZ55	LOC725983	Dmel\CG1582
A0A7M7R4Q3	Q9VNV3	408794	Ddx1
A0A7M7GB67	Q9VNC7	409715	NKCC
A0A7M7R9V2	Q9VGW6	551903	Mcm5
A0A7M7GNZ8	Q9VAD3	LOC413036	Vps13B
A0A7M7H6G3	Q9VW83	412278	gig
A0A7M7GQU7	Q9VF33	LOC412838	alpha-Man-IIb
A0A7M7LN63	A0A0B4KI44	LOC409680	Tusp
A0A7M7GA79	A0A0B4K866	408841	stj
A0A7M7MQI8	A0A0C4DHM8	LOC410336	CG40260
A0A7M7MV74	Q9GSR1	LOC100578071	mus205
A0A7M7L019	Q6IDD9	LOC100577242	Ect4
A0A7M7MPW8	Q01583	LOC551069	Dgk
A0A7M7TEW7	Q5BI50	409279	Cul4
A0A7M7R5Q9	E8NHA2	411750	Herc4
A0A7M7GUT7	A1Z7A6	413683	Asap
A0A7M7TER4	Q9VIL0	LOC408401	brun
A0A7M7MM36	Q9VKB0	412200	ThrRS
A0A7M7IPL4	Q9VHW4	LOC412564	unc-45
A0A7M7L5H0	Q9W3C1	LOC724656	l(1)G0020
A0A7M7H4H6	Q9VM33	411351	ico
A0A7M7L3Z3	Q9VLY7	LOC726883	Tep3
A0A7M7SPI7	O46072	LOC725837	kz
A0A7M7MS49	P31007	LOC724292	dlg1
A0A7M7R598	Q9VM71	408840	Rat1
A0A7M7LTD6	Q9VVI3	411723	Nedd4
A0A7M7R608	Q9VAY2	412150	Gp93
A0A7M7SR01	M9PEP2	LOC552535	Ac13E
A0A7M7GY25	Q9VZZ4	LOC413025	Pxn
A0A7M7GVE2	Q9VFS5	410056	flfl
A0A7M7R2W3	Q24323	LOC408896	Sema2a
A0A7M7GT58	A1ZAX1	551184	eIF3c
A0A7M7MM53	Q7K569	LOC551904	Gpo1
A0A7M7R978	Q9VL07	LOC412863	Utx
A0A7M7RAF1	Q9W4K1	LOC552064	rb
A0A7M7GR49	Q9VJW9	LOC409611	kuz
A0A7M7M0C3	P20659	408716	trx
A0A7M7GYE0	Q9VSS1	551235	pix
A0A7M7MRZ2	Q7KVR8	LOC412884	AP-1gamma
A0A7M7R5J8	A8DYL2	409139	CG13498
A0A7M7GU21	A0A0B4K765	409049	Sin3A
A0A7M7M520	Q9VP76	726262	Ac78C
A0A7M7L761	X2JEY5	409444	AMPdeam
A0A7M7IJQ4	Q9VJ75	411661	Dmel\CG10413
A0A7M7IHL0	Q9VLB3	LOC409670	Oatp30B
A0A7M7MLQ5	A1Z9N7	406072	Ih
A0A7M7GMC3	Q8I0G5	412083	gammaCOP
A0A7M7GWZ9	Q9VJ74	LOC551823	DmRH19
A0A7M7LN24	Q9VE51	102653588	Cpsf73
A0A7M7H144	Q0KHQ5	413126	Tao
T1SGQ4	Q03043	For	for
A0A7M7L0P8	M9PI57	552792	nan
A0A7M7RB78	Q9XYU1	552642	Mcm3
A0A7M7R312	Q9W277	408796	Vps35
A0A7M7SNZ2	Q9VP61	LOC409624	AcCoAS
A0A7M7R990	Q94523	LOC550667	SdhA
A0A7M7R858	Q7KT70	LOC413260	Gli
A0A7M7RAW8	Q9VIK1	552455	TM9SF2
A0A7M7IXJ7	Q7KMM4	551205	GCS2alpha
A0A7M7MQ13	A0A0B4K657	LOC408337	btsz
A0A7M7GTV7	Q9V6K1	LOC412055	TppII
A0A7M7MUQ9	Q9VBP3	413032	Tnks
A0A7M6ULL9	P29845	408605	Hsc70-5
A0A7M7MLW8	P48994	LOC409631	trpl
A0A7M7R9H7	Q9VAQ0	551563	Cul5
A0A7M7MPC9	Q9Y0H4	LOC100576472	Su(dx)
A0A7M7MQJ1	Q9V3C5	LOC411939	Rich
A0A7M7KYL4	Q9V3K9	LOC550695	whd
A0A7M7GQQ5	Q9VZP5	408556	eIF5B
A0A7M7MMY3	Q9VXR5	413252	Dmel\CG9281
A0A7M7MN36	P17971	LOC408576	Shal
A0A7M7MSS2	A1ZB14	409845	Elk
A0A7M7L747	Q8INF0	411635	Gyc88E
A0A7M7TFE9	Q9VJ95	412960	Ptp36E
A0A7M7MR77	Q9VSE6	LOC410301	RecQ4
A0A7M7INF8	B7YZY2	LOC408306	Nhe2
A0A7M7MNV2	M9PJN5	LOC725938	HDAC6
A0A7M7R337	Q9VBC7	LOC408835	amon
A0A7M7GTI5	Q9VQZ1	LOC412623	l(2)k05819
A0A7M7R737	Q9VV61	LOC409305	CG4638
A0A7M7GVM6	Q9W436	408973	Nep1
A0A7M7GVD2	Q9VAU1	409666	snu
A0A7M7LS42	Q9VW34	408365	serp
A0A7M7L284	A0A0B4K760	LOC410986	CG5449
A0A7M6UF78	Q9V4E7	406071	Gat
A0A7M7RAG4	Q9W0R0	LOC552527	Cdc5
A0A7M7MSB4	A0A0B4JCY1	LOC724912	subdued
A0A7M7L386	P42787	LOC724816	svr
A0A7M7L3P0	Q9Y105	413718	Aats-gln
A0A7M7H094	Q9VWI5	413592	CG14198
A0A7M7H6E6	A0A0B4K6Y7	LOC725098	pyd
A0A7M7L078	M9NEI3	LOC100576291	Cngl
A0A7M7KYD8	Q9VHH9	LOC410848	Kdm2
A0A7M7GN13	A0A0B4KHC3	412608	PKD
A0A7M7IHQ7	Q9VAH9	LOC100576359	IntS11
A0A7M7MPL1	Q9VSJ6	LOC727298	Oseg1
A0A7M7R4W1	Q9VWI2	LOC411163	Naa15-16
A0A7M7R7V5	O96838	LOC410183	fab1
A0A7M7LQU6	P24014	LOC408960	sli
A0A7M7GRB4	Q8IMK1	LOC408507	anon-WO0118547.417
A0A7M7R8M2	Q9VA02	LOC412569	CG1544
A0A7M7GR09	Q9GPJ1	LOC100577783	Skeletor
A0A7M7R776	Q9VCH8	413690	tst
A0A7M7LPJ7	Q8IPV3	414051	Dmel\CG3164
A0A7M7MR26	Q8IMW9	LOC726875	Dmel\CG6454
A0A7M7GA59	Q9VQZ6	100576866	Elp3
A0A7M7MPB8	P26019	LOC725611	DNApol-alpha180
A0A7M7ILZ8	Q9V410	411262	CG3711
A0A7M7MGK9	Q8IPB7	LOC552249	LManII
A0A7M7GWN3	Q8IN94	412046	osa
A0A7M7GJZ2	X2JEB0	LOC102654165	dtn
A0A7M7R6B1	Q9XYU0	409979	Mcm7
A0A7M7IEL9	Q9VPS7	LOC410979	GABA-B-R3
A0A7M7R8P0	Q9VWZ2	551795	Dmel\CG7536
A0A7M7MH91	P10180	LOC551460	ct
A0A7M7GUA7	Q9VEV4	LOC410511	ema
A0A7M7L9B1	Q09103	LOC413071	rdgA
A0A7M7R6D3	Q9VUK8	408392	GlyRS
A0A7M7GMR3	Q9V3D6	411465	Cpsf100
A0A7M7GPZ1	A0A0B4KFE4	409515	Acsl
A0A7M7H3W4	A8JRE3	LOC552580	woc
A0A7M7MXY7	A1Z992	LOC727168	AGBE
A0A7M7SQ18	Q9V496	LOC408961	apolpp
A0A7M7GVJ9	Q8IP22	100577376	Dmel\CG42817
A0A7M7GN95	Q9VBY8	LOC408959	stac
A0A7M7TFJ6	Q9VN25	414004	eIF3a
A0A7M7G330	A1Z920	LOC726723	fra
A0A7M7RAK7	Q8T4G5	552166	DmCG6512
A0A7M7R9K7	P54362	412097	g
A0A7M7R5E3	Q9W4T4	411288	dnc
A0A7M7R6P1	M9PIG4	413732	Glg1
A0A7M7MTC8	X4YX01	LOC410514	wake
A0A7M7L5C6	Q9VIQ9	LOC408725	sick
A0A7M7TFC9	Q9VVT8	412541	Dmel\CG3961
A0A7M7MN87	Q9VE34	LOC727278	CG14299
A0A7M7H363	Q27597	LOC724870	Cpr
A0A7M7MTX2	Q70PP2	LOC727185	nonC
A0A7M7GRT1	P16371	408894	gro
A0A7M7L2F3	A0A0B4K6E2	LOC409818	Calx
A0A7M7RBW0	E1JI40	551323	verm
A0A7M7MVN3	A1Z813	LOC411410	Sec24AB
A0A7M7R6Y0	Q24322	LOC410686	Sema1a
A0A7M7R3N9	Q9VYA0	409487	CG9940
A0A7M7MRM5	B7Z150	LOC413224	inaE
A0A7M7R310	Q9VUM0	408815	Msh6
A0A7M7TF28	P25991	410390	su(f)
A0A7M7MQP3	Q24212	LOC413428	stnB
A0A7M7R6Z7	B7Z122	LOC411199	Dmel\CG10804
A0A7M7IE36	Q8IQZ7	408694	Fim
A0A7M7L199	A0A0B4K7V4	LOC409142	Dmel\CG43066
A0A7M7R9W3	Q7KJA9	LOC551425	sxc
A0A7M7TFE8	Q8IQV9	411918	Nup205
A0A7M7SS83	Q9VK27	LOC552435	Edem2
A0A7M7GMD8	M9PG08	413034	RhoBTB
A0A7M7R943	Q9VHN7	550804	Dmel\CG8036
A0A7M7FZ04	Q9VB21	724563	Dmel\CG5639
A0A7M7MGR0	A1ZB93	LOC409686	Dmel\CG30116
A0A7M7GTA4	Q9VPI3	LOC552276	Cda5
A0A7M7GTC0	Q7KRW4	412808	Dmel\CG14516
A0A7M7GTJ0	Q24311	410565	Cul1
A0A7M7M5L0	Q9VF03	LOC409501	mor
A0A7M7MS50	P22817	LOC413539	Ide
A0A7M7GAR3	Q9VY08	410744	Dmel\CG9518
A0A7M7R8F0	P91634	551500	Pi3K92E
A0A7M7RA02	Q5U0X8	551087	Dmel\CG12325
A0A7M7L8Z4	A8JNM1	LOC408821	form3
A0A7M6W5S3	Q94511	Ndufs1	ND-75
A0A7M7MGZ1	P13678	LOC724607	Pkc98E
A0A7M7GJ69	Q9VUV4	LOC413633	sff
